"mergeMethod" "n_clus" "ARI"
"Params" 18 0.557738340126604
"Params" 19 0.533491773994965
"Params" 20 0.492450195858965
"Params" 21 0.525358989887068
"Params" 22 0.506509601849442
"Params" 23 0.526902898647484
"Params" 25 0.45182612582204
"Params" 26 0.455724407142438
"Params" 28 0.453868043171836
"Params" 30 0.431177915255611
"DE" 30 0.431177915255611
"DE" 29 0.441184570880504
"DE" 28 0.451802612871171
"DE" 25 0.494099479492133
"DE" 18 0.642228318869714
"Dist" 18 0.525063839272405
"Dist" 19 0.607973727041215
"Dist" 20 0.580050443335077
"Dist" 21 0.564348619045949
"Dist" 22 0.497965899732373
"Dist" 23 0.534786741863427
"Dist" 24 0.510490361466066
"Dist" 25 0.496254385681281
"Dist" 26 0.489536756816731
"Dist" 27 0.47961141798148
"Dist" 28 0.451802612871171
"Dist" 29 0.441184570880504
"Dist" 30 0.431177915255611
"Dune" 18 0.655250474420214
"Dune" 19 0.654744241319128
"Dune" 20 0.642926700039197
"Dune" 21 0.634636979167586
"Dune" 22 0.61618993798144
"Dune" 23 0.609296188564031
"Dune" 24 0.595688447133048
"Dune" 25 0.57805670936712
"Dune" 26 0.581864730003007
"Dune" 27 0.564863698804093
"Dune" 28 0.532988567144621
"Dune" 29 0.463699053949683
"Dune" 30 0.431177915255611
