"dataset" "sc3" "Monocle" "Seurat" "steps"
"baron" 0.751996364111632 0.652588395605264 0.926090625388232 0
"baron" 0.794784623225517 0.657526388660608 0.926090625388232 0.05
"baron" 0.794784623225517 0.657526388660608 0.926090625388232 0.1
"baron" 0.794784623225517 0.652376992071574 0.926090625388232 0.15
"baron" 0.794784623225517 0.652376992071574 0.926090625388232 0.2
"baron" 0.794784623225517 0.668501146521488 0.926090625388232 0.25
"baron" 0.794784623225517 0.73503096069327 0.926090625388232 0.3
"baron" 0.794784623225517 0.73503096069327 0.926090625388232 0.35
"baron" 0.852924147847159 0.736974613927007 0.926090625388232 0.4
"baron" 0.852924147847159 0.716295642930467 0.926090625388232 0.45
"baron" 0.852924147847159 0.716295642930467 0.904258508250875 0.5
"baron" 0.852924147847159 0.741908007963761 0.904258508250875 0.55
"baron" 0.852924147847159 0.759017143337796 0.88981212773012 0.6
"baron" 0.852924147847159 0.776489397508936 0.88981212773012 0.65
"baron" 0.81459045612971 0.787180569858998 0.88981212773012 0.7
"baron" 0.839732351023255 0.787180569858998 0.873165075668585 0.75
"baron" 0.81251300257869 0.793645351525109 0.873165075668585 0.8
"baron" 0.831920524173651 0.79822556145155 0.832504799841145 0.85
"baron" 0.837342855144331 0.79822556145155 0.832504799841145 0.9
"baron" 0.854328306067328 0.799600106986681 0.833692654567309 0.95
"baron" 0.849236931947295 0.799087989647437 0.83056369474401 1
"segerstolpe" 0.887384497017845 0.710140464467851 0.824662036638055 0
"segerstolpe" 0.828534796703332 0.714073253846116 0.84643225380969 0.05
"segerstolpe" 0.828534796703332 0.670293218163866 0.84643225380969 0.1
"segerstolpe" 0.828534796703332 0.739429889594561 0.84643225380969 0.15
"segerstolpe" 0.857839702841794 0.739429889594561 0.876093392835824 0.2
"segerstolpe" 0.768284588112169 0.739429889594561 0.876093392835824 0.25
"segerstolpe" 0.863857812805593 0.739429889594561 0.807945479254895 0.3
"segerstolpe" 0.863857812805593 0.739429889594561 0.896527235724736 0.35
"segerstolpe" 0.863857812805593 0.739429889594561 0.896527235724736 0.4
"segerstolpe" 0.863857812805593 0.739429889594561 0.896527235724736 0.45
"segerstolpe" 0.863857812805593 0.739429889594561 0.896527235724736 0.5
"segerstolpe" 0.863857812805593 0.739429889594561 0.896527235724736 0.55
"segerstolpe" 0.863857812805593 0.782433656980159 0.896527235724736 0.6
"segerstolpe" 0.828544940756912 0.782433656980159 0.896527235724736 0.65
"segerstolpe" 0.832057233576839 0.805481399769312 0.896527235724736 0.7
"segerstolpe" 0.832057233576839 0.805481399769312 0.891941531959517 0.75
"segerstolpe" 0.821901864425913 0.805991691162403 0.882765388166703 0.8
"segerstolpe" 0.836235317931749 0.815473932316287 0.874954418970356 0.85
"segerstolpe" 0.804251139234518 0.815473932316287 0.887220854633731 0.9
"segerstolpe" 0.820477645476807 0.828834520476563 0.887220854633731 0.95
"segerstolpe" 0.877850064468868 0.837623721900769 0.876511310277591 1
