comps,Ref,clustering,improvement,relative_improvement
comp1,baron,1,0.053185293,0.09161313
comp1,baron,2,0.071510372,0.109130418
comp1,baron,3,0.03426469,0.052385561
comp1,segerstolpe,1,0.018718349,0.045258941
comp1,segerstolpe,2,0.005006042,0.01146834
comp1,segerstolpe,3,0.030927779,0.072386953
comp2,baron,1,0.034114361,0.088485507
comp2,baron,2,0.077684552,0.147243535
comp2,baron,3,0.151323271,0.296670528
comp2,segerstolpe,1,0.007166168,0.012167071
comp2,segerstolpe,2,0.015329403,0.038410159
comp2,segerstolpe,3,0.02678806,0.059417993
comp3,baron,1,0.097873879,0.181980821
comp3,baron,2,0.060259435,0.10390344
comp3,baron,3,0.177710847,0.356221542
comp3,segerstolpe,1,0.016334211,0.036363763
comp3,segerstolpe,2,0.003851238,0.008490568
comp3,segerstolpe,3,0.018935543,0.048944217
