cells,SC3-00,UMAP_KMEANS-00,TSNE_KMEANS-00,SC3-05,UMAP_KMEANS-05,TSNE_KMEANS-05,SC3-10,UMAP_KMEANS-10,TSNE_KMEANS-10,SC3-15,UMAP_KMEANS-15,TSNE_KMEANS-15,SC3-20,UMAP_KMEANS-20,TSNE_KMEANS-20,SC3-25,UMAP_KMEANS-25,TSNE_KMEANS-25,SC3-30,UMAP_KMEANS-30,TSNE_KMEANS-30,SC3-35,UMAP_KMEANS-35,TSNE_KMEANS-35,SC3-40,UMAP_KMEANS-40,TSNE_KMEANS-40,SC3-45,UMAP_KMEANS-45,TSNE_KMEANS-45,SC3-50,UMAP_KMEANS-50,TSNE_KMEANS-50,SC3-55,UMAP_KMEANS-55,TSNE_KMEANS-55,SC3-60,UMAP_KMEANS-60,TSNE_KMEANS-60,SC3-65,UMAP_KMEANS-65,TSNE_KMEANS-65,SC3-70,UMAP_KMEANS-70,TSNE_KMEANS-70,SC3-75,UMAP_KMEANS-75,TSNE_KMEANS-75,SC3-80,UMAP_KMEANS-80,TSNE_KMEANS-80,SC3-85,UMAP_KMEANS-85,TSNE_KMEANS-85,SC3-90,UMAP_KMEANS-90,TSNE_KMEANS-90,SC3-95,UMAP_KMEANS-95,TSNE_KMEANS-95,SC3-100,UMAP_KMEANS-100,TSNE_KMEANS-100
Cell1,35,30,11,35,30,11,35,30,11,35,30,11,35,30,11,35,30,11,35,30,11,35,30,11,35,30,11,35,30,11,35,30,11,35,30,11,14,30,11,14,30,11,14,30,11,14,30,11,14,30,11,14,30,11,14,30,11,14,30,11,14,30,11
Cell10,31,37,26,31,37,26,31,37,26,31,37,26,31,37,26,31,37,26,31,37,26,31,37,26,31,37,26,31,37,26,31,37,26,31,37,26,31,37,26,31,37,26,31,37,26,27,37,8,27,37,8,27,37,8,27,37,8,27,37,8,27,37,8
Cell100,6,15,28,6,15,28,6,15,28,6,15,28,6,15,28,6,15,28,6,15,28,6,15,28,6,15,28,6,15,28,6,15,28,6,15,28,6,15,28,6,15,28,6,15,28,6,15,28,6,15,28,6,15,28,6,15,28,6,15,28,6,15,28
Cell1000,12,4,30,12,4,30,12,4,30,12,4,30,12,4,3,12,4,3,12,4,3,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1
Cell1001,12,4,30,12,4,30,12,4,30,12,4,30,12,4,3,12,4,3,12,4,3,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1
Cell1002,28,39,6,28,39,6,28,39,6,28,39,6,28,39,6,28,39,6,28,39,6,28,39,6,28,39,6,28,39,6,28,39,6,28,20,6,28,20,6,28,20,6,28,20,6,28,20,6,28,20,6,28,20,6,28,20,6,28,20,6,28,20,6
Cell1003,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2,8,2,2
Cell1004,5,6,23,5,6,23,5,6,23,5,6,23,5,6,23,5,6,23,5,6,23,5,6,23,5,6,23,5,6,23,5,6,23,5,6,23,5,6,23,5,6,23,5,6,23,5,6,23,5,6,23,5,6,21,5,6,21,5,6,21,5,6,21
Cell1005,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20,21,11,20
Cell1006,33,13,12,33,13,12,33,13,12,33,13,12,33,13,12,33,13,12,33,13,12,33,13,12,33,13,12,33,13,12,33,13,12,33,13,12,33,13,12,33,13,12,33,13,12,33,13,12,33,13,12,33,13,12,33,13,12,33,13,12,33,13,12
Cell1007,13,22,39,13,22,39,13,22,39,13,22,39,13,22,39,13,22,39,13,22,39,13,22,39,13,22,39,13,22,39,13,21,31,13,21,31,13,21,31,13,21,31,13,21,31,13,21,31,13,21,31,13,21,31,13,21,31,13,21,31,13,21,31
Cell1008,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18,34,17,18
Cell1009,3,10,38,3,10,38,3,10,38,3,10,38,3,10,38,3,10,38,3,10,38,3,10,38,3,10,38,3,10,38,3,10,38,3,10,38,3,10,38,3,10,38,3,10,38,3,10,38,3,10,38,3,10,38,3,10,38,3,10,7,3,10,7
Cell101,5,40,21,5,40,21,5,40,21,5,40,21,5,40,21,5,40,21,5,40,21,5,40,21,5,40,21,5,40,21,5,40,21,5,40,21,5,40,21,5,40,21,5,40,21,5,40,21,5,40,21,5,6,21,5,6,21,5,6,21,5,6,21
Cell1010,3,38,38,3,38,38,3,38,38,3,38,38,3,38,38,3,38,38,3,38,38,3,38,38,3,38,38,3,38,38,3,38,38,3,38,38,3,38,38,3,38,38,3,38,38,3,38,38,3,38,38,3,38,38,3,38,38,3,19,7,3,10,7
Cell1011,24,12,5,24,12,5,24,12,5,24,12,5,24,12,5,24,12,5,24,12,5,24,12,5,24,12,5,24,12,5,24,12,5,24,12,5,24,12,5,24,12,5,24,12,5,24,12,5,24,12,5,24,12,5,24,12,5,24,12,5,24,12,5
Cell1012,16,26,32,16,26,32,16,26,32,16,26,32,16,26,32,16,26,32,16,26,32,16,26,32,16,26,32,16,26,32,16,26,32,16,26,32,16,26,32,16,26,32,16,26,32,16,26,32,16,26,32,16,26,32,16,26,32,16,26,32,16,26,32
Cell1013,15,36,15,15,36,15,15,36,15,15,36,15,15,36,15,15,36,15,15,36,15,15,36,15,15,36,15,15,36,15,15,36,15,15,36,15,15,36,15,15,36,15,15,36,15,15,36,15,15,36,15,15,36,15,15,36,15,15,36,15,15,36,15
Cell1014,23,4,1,23,4,1,23,4,1,23,4,1,23,4,1,23,4,1,23,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1,12,4,1
