cells,SC3-00,UMAP_KMEANS-00,TSNE_KMEANS-00,SC3-05,UMAP_KMEANS-05,TSNE_KMEANS-05,SC3-10,UMAP_KMEANS-10,TSNE_KMEANS-10,SC3-15,UMAP_KMEANS-15,TSNE_KMEANS-15,SC3-20,UMAP_KMEANS-20,TSNE_KMEANS-20,SC3-25,UMAP_KMEANS-25,TSNE_KMEANS-25,SC3-30,UMAP_KMEANS-30,TSNE_KMEANS-30,SC3-35,UMAP_KMEANS-35,TSNE_KMEANS-35,SC3-40,UMAP_KMEANS-40,TSNE_KMEANS-40,SC3-45,UMAP_KMEANS-45,TSNE_KMEANS-45,SC3-50,UMAP_KMEANS-50,TSNE_KMEANS-50,SC3-55,UMAP_KMEANS-55,TSNE_KMEANS-55,SC3-60,UMAP_KMEANS-60,TSNE_KMEANS-60,SC3-65,UMAP_KMEANS-65,TSNE_KMEANS-65,SC3-70,UMAP_KMEANS-70,TSNE_KMEANS-70,SC3-75,UMAP_KMEANS-75,TSNE_KMEANS-75,SC3-80,UMAP_KMEANS-80,TSNE_KMEANS-80,SC3-85,UMAP_KMEANS-85,TSNE_KMEANS-85,SC3-90,UMAP_KMEANS-90,TSNE_KMEANS-90,SC3-95,UMAP_KMEANS-95,TSNE_KMEANS-95,SC3-100,UMAP_KMEANS-100,TSNE_KMEANS-100
Cell1,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20
Cell10,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,26,27,7
Cell100,29,36,17,29,36,17,29,36,17,29,36,17,29,36,17,29,36,17,29,36,17,29,20,17,29,20,17,29,20,17,29,20,17,29,20,17,29,20,17,29,20,5,29,20,5,29,20,5,29,20,5,29,20,5,29,20,5,29,20,5,29,20,5
Cell1000,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33,33,18,33
Cell1001,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11,34,10,11
Cell1002,29,36,5,29,36,5,29,36,5,29,36,5,29,36,5,29,36,5,29,36,5,29,20,5,29,20,5,29,20,5,29,20,5,29,20,5,29,20,5,29,20,5,29,20,5,29,20,5,29,20,5,29,20,5,29,20,5,29,20,5,29,20,5
Cell1003,16,4,1,16,4,1,16,4,1,16,4,1,16,4,1,16,4,1,16,4,1,16,4,1,16,4,1,16,4,1,16,4,1,16,4,1,16,4,1,16,4,1,16,1,1,16,1,1,16,1,1,16,1,1,16,1,1,16,1,1,15,1,1
Cell1004,2,22,32,2,22,32,2,22,32,2,22,32,2,22,32,2,22,32,2,22,32,2,22,32,2,22,32,2,22,32,2,22,32,2,22,23,2,22,21,2,22,21,2,22,21,2,22,21,2,22,21,2,22,21,2,22,21,2,22,21,2,22,21
Cell1005,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6,17,23,6
Cell1006,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24
