"","nCells","param","Value","Name","n_clus","clustering","level"
"1","100","30",0.227306773696632,"sc3-00",30,"sc3",0
"2","100","30",0.445078705660416,"X30-00",30,"X30",0
"3","100","30",0.337660599922865,"X30.1-00",30,"X30.1",0
"4","100","30",0.227306773696632,"sc3-05",30,"sc3",5
"5","100","30",0.50615391353861,"X30-05",29,"X30",5
"6","100","30",0.337660599922865,"X30.1-05",30,"X30.1",5
"7","100","30",0.227306773696632,"sc3-10",30,"sc3",10
"8","100","30",0.50615391353861,"X30-10",29,"X30",10
"9","100","30",0.337660599922865,"X30.1-10",30,"X30.1",10
"10","100","30",0.227306773696632,"sc3-15",30,"sc3",15
"11","100","30",0.50615391353861,"X30-15",29,"X30",15
"12","100","30",0.337660599922865,"X30.1-15",30,"X30.1",15
"13","100","30",0.227306773696632,"sc3-20",30,"sc3",20
"14","100","30",0.50615391353861,"X30-20",29,"X30",20
"15","100","30",0.337660599922865,"X30.1-20",30,"X30.1",20
"16","100","30",0.227306773696632,"sc3-25",30,"sc3",25
"17","100","30",0.50615391353861,"X30-25",29,"X30",25
"18","100","30",0.337660599922865,"X30.1-25",30,"X30.1",25
"19","100","30",0.227306773696632,"sc3-30",30,"sc3",30
"20","100","30",0.520207640778581,"X30-30",28,"X30",30
"21","100","30",0.337660599922865,"X30.1-30",30,"X30.1",30
"22","100","30",0.227306773696632,"sc3-35",30,"sc3",35
"23","100","30",0.520207640778581,"X30-35",28,"X30",35
"24","100","30",0.337660599922865,"X30.1-35",30,"X30.1",35
"25","100","30",0.227306773696632,"sc3-40",30,"sc3",40
"26","100","30",0.51693523433223,"X30-40",27,"X30",40
"27","100","30",0.337660599922865,"X30.1-40",30,"X30.1",40
"28","100","30",0.227306773696632,"sc3-45",30,"sc3",45
"29","100","30",0.51693523433223,"X30-45",27,"X30",45
"30","100","30",0.337660599922865,"X30.1-45",30,"X30.1",45
"31","100","30",0.227306773696632,"sc3-50",30,"sc3",50
"32","100","30",0.51693523433223,"X30-50",27,"X30",50
"33","100","30",0.337660599922865,"X30.1-50",30,"X30.1",50
"34","100","30",0.227306773696632,"sc3-55",30,"sc3",55
"35","100","30",0.524717277621783,"X30-55",26,"X30",55
"36","100","30",0.337660599922865,"X30.1-55",30,"X30.1",55
"37","100","30",0.227306773696632,"sc3-60",30,"sc3",60
