Metric,method,Value,Name,n_clus,clustering,level
ARI,Dune,0.9858749038426657,SC3.00,40,SC3,0
ARI,Dune,0.7837071574635425,UMAP_KMEANS.00,40,UMAP_KMEANS,0
ARI,Dune,0.8458740942884195,TSNE_KMEANS.00,40,TSNE_KMEANS,0
ARI,Dune,0.9858749038426657,SC3.05,40,SC3,5
ARI,Dune,0.8068499892578408,UMAP_KMEANS.05,38,UMAP_KMEANS,5
ARI,Dune,0.8458740942884195,TSNE_KMEANS.05,40,TSNE_KMEANS,5
ARI,Dune,0.9858749038426657,SC3.10,40,SC3,10
ARI,Dune,0.8068499892578408,UMAP_KMEANS.10,38,UMAP_KMEANS,10
ARI,Dune,0.8578725777048609,TSNE_KMEANS.10,39,TSNE_KMEANS,10
ARI,Dune,0.9858749038426657,SC3.15,40,SC3,15
ARI,Dune,0.7790282047331323,UMAP_KMEANS.15,37,UMAP_KMEANS,15
ARI,Dune,0.8660154728119368,TSNE_KMEANS.15,38,TSNE_KMEANS,15
ARI,Dune,0.9514222389497359,SC3.20,39,SC3,20
ARI,Dune,0.7790282047331323,UMAP_KMEANS.20,37,UMAP_KMEANS,20
ARI,Dune,0.8660154728119368,TSNE_KMEANS.20,38,TSNE_KMEANS,20
ARI,Dune,0.9514222389497359,SC3.25,39,SC3,25
ARI,Dune,0.7790282047331323,UMAP_KMEANS.25,37,UMAP_KMEANS,25
ARI,Dune,0.8660154728119368,TSNE_KMEANS.25,38,TSNE_KMEANS,25
ARI,Dune,0.9514222389497359,SC3.30,39,SC3,30
ARI,Dune,0.785772927590114,UMAP_KMEANS.30,36,UMAP_KMEANS,30
ARI,Dune,0.8660154728119368,TSNE_KMEANS.30,38,TSNE_KMEANS,30
ARI,Dune,0.9514222389497359,SC3.35,39,SC3,35
ARI,Dune,0.8033889999692414,UMAP_KMEANS.35,34,UMAP_KMEANS,35
ARI,Dune,0.8768415236366284,TSNE_KMEANS.35,37,TSNE_KMEANS,35
ARI,Dune,0.9514222389497359,SC3.40,39,SC3,40
ARI,Dune,0.8114583962771318,UMAP_KMEANS.40,33,UMAP_KMEANS,40
ARI,Dune,0.8854358167961499,TSNE_KMEANS.40,36,TSNE_KMEANS,40
ARI,Dune,0.9514222389497359,SC3.45,39,SC3,45
ARI,Dune,0.819161437939718,UMAP_KMEANS.45,32,UMAP_KMEANS,45
ARI,Dune,0.8986014596658893,TSNE_KMEANS.45,34,TSNE_KMEANS,45
ARI,Dune,0.9514222389497359,SC3.50,39,SC3,50
ARI,Dune,0.8279475411329865,UMAP_KMEANS.50,30,UMAP_KMEANS,50
ARI,Dune,0.9061994327203908,TSNE_KMEANS.50,33,TSNE_KMEANS,50
ARI,Dune,0.9261241781488347,SC3.55,38,SC3,55
