Metric,method,Value,n_clus,clustering,level
ARI,TSNE_KMEANS,-9.447154433766213e-6,5,SC3,NA
ARI,TSNE_KMEANS,-9.402304173227098e-6,6,SC3,NA
ARI,TSNE_KMEANS,-1.1471625127101623e-5,7,SC3,NA
ARI,TSNE_KMEANS,-1.2782689656965412e-5,8,SC3,NA
ARI,TSNE_KMEANS,-1.1212983649490098e-5,9,SC3,NA
ARI,TSNE_KMEANS,-1.4619131124036798e-5,10,SC3,NA
ARI,TSNE_KMEANS,3.4279444956382037e-6,11,SC3,NA
ARI,TSNE_KMEANS,-1.2358086638664997e-5,12,SC3,NA
ARI,TSNE_KMEANS,-4.316579582712588e-5,13,SC3,NA
ARI,TSNE_KMEANS,-2.6277570312801405e-5,14,SC3,NA
ARI,TSNE_KMEANS,-4.391554129015334e-5,15,SC3,NA
ARI,TSNE_KMEANS,-2.3676745207456624e-5,16,SC3,NA
ARI,TSNE_KMEANS,-5.855794250019584e-5,17,SC3,NA
ARI,TSNE_KMEANS,9.88677304158239e-5,18,SC3,NA
ARI,TSNE_KMEANS,2.4378233476644797e-4,19,SC3,NA
ARI,TSNE_KMEANS,3.70638965142541e-4,20,SC3,NA
ARI,TSNE_KMEANS,3.5233995194648276e-4,21,SC3,NA
ARI,TSNE_KMEANS,3.9820559850054676e-4,22,SC3,NA
ARI,TSNE_KMEANS,5.035475895776042e-4,23,SC3,NA
ARI,TSNE_KMEANS,3.7574918022903865e-4,24,SC3,NA
ARI,TSNE_KMEANS,3.357466716244373e-4,25,SC3,NA
ARI,TSNE_KMEANS,2.1406798028444568e-4,26,SC3,NA
ARI,TSNE_KMEANS,2.1951167319733735e-4,27,SC3,NA
ARI,TSNE_KMEANS,2.2031484875374667e-4,28,SC3,NA
ARI,TSNE_KMEANS,2.3976276234985262e-4,29,SC3,NA
ARI,TSNE_KMEANS,2.586287784820368e-4,30,SC3,NA
ARI,TSNE_KMEANS,1.2586517003903923e-4,31,SC3,NA
ARI,TSNE_KMEANS,1.0061867894248847e-4,32,SC3,NA
ARI,TSNE_KMEANS,1.4687242489755351e-4,33,SC3,NA
ARI,TSNE_KMEANS,7.676990842903699e-5,34,SC3,NA
ARI,TSNE_KMEANS,4.1026981757644754e-5,35,SC3,NA
ARI,TSNE_KMEANS,-4.0333600630391284e-5,36,SC3,NA
ARI,TSNE_KMEANS,-5.030985085489205e-5,37,SC3,NA
ARI,TSNE_KMEANS,-1.3905208921476814e-4,38,SC3,NA
ARI,TSNE_KMEANS,-2.1947836826970353e-4,39,SC3,NA
ARI,TSNE_KMEANS,-1.246257592770844e-4,40,SC3,NA
ARI,TSNE_KMEANS,3.3796102440547425e-5,5,UMAP_KMEANS,NA
ARI,TSNE_KMEANS,-1.0190857231709148e-4,6,UMAP_KMEANS,NA
ARI,TSNE_KMEANS,-1.4482279475869792e-4,7,UMAP_KMEANS,NA
ARI,TSNE_KMEANS,-1.5396182246544e-4,8,UMAP_KMEANS,NA
ARI,TSNE_KMEANS,-1.5449051162639486e-4,9,UMAP_KMEANS,NA
ARI,TSNE_KMEANS,-1.303101689982431e-4,10,UMAP_KMEANS,NA
ARI,TSNE_KMEANS,-9.61660733724253e-5,11,UMAP_KMEANS,NA
ARI,TSNE_KMEANS,-1.1172625293885841e-4,12,UMAP_KMEANS,NA
ARI,TSNE_KMEANS,-8.808163768112687e-5,13,UMAP_KMEANS,NA
