"","k_2","k_3","k_4","k_5","k_6","k_7","k_8","k_9","k_10","k_15","k_20","k_25","k_30","k_35","k_40","k_45","k_50","k_55","k_60","k_65","k_70","k_75","k_80","k_85","k_90","k_95","k_100","cells"
"1",3,9,8,7,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell1"
"2",1,19,9,7,2,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell2"
"3",17,19,9,7,2,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell3"
"4",5,5,5,3,3,2,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell4"
"5",6,3,2,6,1,5,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell5"
"6",49,10,1,2,4,6,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell6"
"7",48,22,12,4,1,5,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell7"
"8",9,7,7,8,5,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell8"
"9",49,12,1,2,4,6,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell9"
"10",177,11,7,3,3,2,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell10"
"11",21,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell11"
"12",171,16,8,5,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell12"
"13",32,17,10,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell13"
"14",45,17,10,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell14"
"15",81,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell15"
"16",28,16,8,5,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell16"
"17",1,9,9,7,2,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell17"
"18",12,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell18"
"19",21,6,3,5,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell19"
"20",64,7,7,8,5,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell20"
"21",23,14,8,5,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell21"
"22",6,3,2,6,1,5,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell22"
"23",7,12,1,2,2,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell23"
"24",121,6,4,4,1,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell24"
"25",4,1,4,4,1,5,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell25"
"26",4,1,4,4,1,5,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell26"
"27",21,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell27"
"28",9,13,5,2,5,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell28"
"29",8,7,7,3,5,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell29"
"30",25,3,4,4,1,5,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell30"
"31",10,5,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell31"
"32",95,17,10,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell32"
"33",107,27,3,5,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell33"
"34",10,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Cell34"
