"","ns","Value","Name","n_clus","clustering","level"
"1","2_31",0.854850538127996,"UMAP_KMEANS_45-00",45,"UMAP_KMEANS_45",0
"2","2_31",0.753605733475748,"tSNE_KMEANS_35-00",35,"tSNE_KMEANS_35",0
"3","2_31",0.826004392021129,"UMAP_KMEANS_45-05",44,"UMAP_KMEANS_45",5
"4","2_31",0.732411674911344,"tSNE_KMEANS_35-05",34,"tSNE_KMEANS_35",5
"5","2_31",0.799562494940443,"UMAP_KMEANS_45-10",43,"UMAP_KMEANS_45",10
"6","2_31",0.732411674911344,"tSNE_KMEANS_35-10",34,"tSNE_KMEANS_35",10
"7","2_31",0.781559491340034,"UMAP_KMEANS_45-15",42,"UMAP_KMEANS_45",15
"8","2_31",0.732411674911344,"tSNE_KMEANS_35-15",34,"tSNE_KMEANS_35",15
"9","2_31",0.766503147859871,"UMAP_KMEANS_45-20",41,"UMAP_KMEANS_45",20
"10","2_31",0.732411674911344,"tSNE_KMEANS_35-20",34,"tSNE_KMEANS_35",20
"11","2_31",0.762672828609322,"UMAP_KMEANS_45-25",40,"UMAP_KMEANS_45",25
"12","2_31",0.732411674911344,"tSNE_KMEANS_35-25",34,"tSNE_KMEANS_35",25
"13","2_31",0.746185151823083,"UMAP_KMEANS_45-30",38,"UMAP_KMEANS_45",30
"14","2_31",0.732411674911344,"tSNE_KMEANS_35-30",34,"tSNE_KMEANS_35",30
"15","2_31",0.735293875973717,"UMAP_KMEANS_45-35",37,"UMAP_KMEANS_45",35
"16","2_31",0.732411674911344,"tSNE_KMEANS_35-35",34,"tSNE_KMEANS_35",35
"17","2_31",0.734124780618616,"UMAP_KMEANS_45-40",36,"UMAP_KMEANS_45",40
"18","2_31",0.732411674911344,"tSNE_KMEANS_35-40",34,"tSNE_KMEANS_35",40
"19","2_31",0.734808060347392,"UMAP_KMEANS_45-45",35,"UMAP_KMEANS_45",45
"20","2_31",0.732411674911344,"tSNE_KMEANS_35-45",34,"tSNE_KMEANS_35",45
"21","2_31",0.745383744484254,"UMAP_KMEANS_45-50",34,"UMAP_KMEANS_45",50
"22","2_31",0.743343349388311,"tSNE_KMEANS_35-50",33,"tSNE_KMEANS_35",50
"23","2_31",0.755364894482472,"UMAP_KMEANS_45-55",33,"UMAP_KMEANS_45",55
"24","2_31",0.753168845852272,"tSNE_KMEANS_35-55",32,"tSNE_KMEANS_35",55
"25","2_31",0.764332294026229,"UMAP_KMEANS_45-60",32,"UMAP_KMEANS_45",60
"26","2_31",0.762192125153635,"tSNE_KMEANS_35-60",31,"tSNE_KMEANS_35",60
"27","2_31",0.764332294026229,"UMAP_KMEANS_45-65",32,"UMAP_KMEANS_45",65
"28","2_31",0.768987401942313,"tSNE_KMEANS_35-65",30,"tSNE_KMEANS_35",65
"29","2_31",0.778927776669563,"UMAP_KMEANS_45-70",30,"UMAP_KMEANS_45",70
"30","2_31",0.768987401942313,"tSNE_KMEANS_35-70",30,"tSNE_KMEANS_35",70
"31","2_31",0.794228327819909,"UMAP_KMEANS_45-75",27,"UMAP_KMEANS_45",75
"32","2_31",0.768987401942313,"tSNE_KMEANS_35-75",30,"tSNE_KMEANS_35",75
"33","2_31",0.794228327819909,"UMAP_KMEANS_45-80",27,"UMAP_KMEANS_45",80
"34","2_31",0.778655376434232,"tSNE_KMEANS_35-80",28,"tSNE_KMEANS_35",80
"35","2_31",0.794228327819909,"UMAP_KMEANS_45-85",27,"UMAP_KMEANS_45",85
"36","2_31",0.790895735554475,"tSNE_KMEANS_35-85",26,"tSNE_KMEANS_35",85
"37","2_31",0.794228327819909,"UMAP_KMEANS_45-90",27,"UMAP_KMEANS_45",90
"38","2_31",0.799518404934187,"tSNE_KMEANS_35-90",24,"tSNE_KMEANS_35",90
"39","2_31",0.800005624774375,"UMAP_KMEANS_45-95",25,"UMAP_KMEANS_45",95
"40","2_31",0.806599560401623,"tSNE_KMEANS_35-95",23,"tSNE_KMEANS_35",95
"41","2_31",0.806599560401623,"UMAP_KMEANS_45-100",23,"UMAP_KMEANS_45",100
"42","2_31",0.806599560401623,"tSNE_KMEANS_35-100",23,"tSNE_KMEANS_35",100
"43","2_30",0.672373434893105,"UMAP_KMEANS_40-00",40,"UMAP_KMEANS_40",0
"44","2_30",0.79735255761002,"tSNE_KMEANS_45-00",45,"tSNE_KMEANS_45",0
"45","2_30",0.65373098146793,"UMAP_KMEANS_40-05",39,"UMAP_KMEANS_40",5
"46","2_30",0.766272363194892,"tSNE_KMEANS_45-05",44,"tSNE_KMEANS_45",5
"47","2_30",0.65373098146793,"UMAP_KMEANS_40-10",39,"UMAP_KMEANS_40",10
"48","2_30",0.742802658021013,"tSNE_KMEANS_45-10",43,"tSNE_KMEANS_45",10
"49","2_30",0.65373098146793,"UMAP_KMEANS_40-15",39,"UMAP_KMEANS_40",15
"50","2_30",0.727917198239632,"tSNE_KMEANS_45-15",42,"tSNE_KMEANS_45",15
"51","2_30",0.65373098146793,"UMAP_KMEANS_40-20",39,"UMAP_KMEANS_40",20
"52","2_30",0.709603443895092,"tSNE_KMEANS_45-20",40,"tSNE_KMEANS_45",20
"53","2_30",0.65373098146793,"UMAP_KMEANS_40-25",39,"UMAP_KMEANS_40",25
"54","2_30",0.698491908962238,"tSNE_KMEANS_45-25",39,"tSNE_KMEANS_45",25
"55","2_30",0.65373098146793,"UMAP_KMEANS_40-30",39,"UMAP_KMEANS_40",30
"56","2_30",0.68500654235733,"tSNE_KMEANS_45-30",37,"tSNE_KMEANS_45",30
