"","param","Value","Name","n_clus","clustering","level"
"1","30",1,"sc3-00",30,"sc3",0
"2","30",0.773643925557281,"UMAP_KMEANS-00",30,"UMAP_KMEANS",0
"3","30",0.888657542938934,"tSNE_KMEANS-00",30,"tSNE_KMEANS",0
"4","30",1,"sc3-05",30,"sc3",5
"5","30",0.773643925557281,"UMAP_KMEANS-05",30,"UMAP_KMEANS",5
"6","30",0.896496372073728,"tSNE_KMEANS-05",29,"tSNE_KMEANS",5
"7","30",1,"sc3-10",30,"sc3",10
"8","30",0.773643925557281,"UMAP_KMEANS-10",30,"UMAP_KMEANS",10
"9","30",0.896496372073728,"tSNE_KMEANS-10",29,"tSNE_KMEANS",10
"10","30",1,"sc3-15",30,"sc3",15
"11","30",0.77989627155764,"UMAP_KMEANS-15",29,"UMAP_KMEANS",15
"12","30",0.896496372073728,"tSNE_KMEANS-15",29,"tSNE_KMEANS",15
"13","30",1,"sc3-20",30,"sc3",20
"14","30",0.77989627155764,"UMAP_KMEANS-20",29,"UMAP_KMEANS",20
"15","30",0.896496372073728,"tSNE_KMEANS-20",29,"tSNE_KMEANS",20
"16","30",1,"sc3-25",30,"sc3",25
"17","30",0.78602703007569,"UMAP_KMEANS-25",28,"UMAP_KMEANS",25
"18","30",0.896496372073728,"tSNE_KMEANS-25",29,"tSNE_KMEANS",25
"19","30",1,"sc3-30",30,"sc3",30
"20","30",0.78602703007569,"UMAP_KMEANS-30",28,"UMAP_KMEANS",30
"21","30",0.896496372073728,"tSNE_KMEANS-30",29,"tSNE_KMEANS",30
"22","30",1,"sc3-35",30,"sc3",35
"23","30",0.78602703007569,"UMAP_KMEANS-35",28,"UMAP_KMEANS",35
"24","30",0.896496372073728,"tSNE_KMEANS-35",29,"tSNE_KMEANS",35
"25","30",1,"sc3-40",30,"sc3",40
"26","30",0.793902703847045,"UMAP_KMEANS-40",27,"UMAP_KMEANS",40
"27","30",0.896496372073728,"tSNE_KMEANS-40",29,"tSNE_KMEANS",40
"28","30",1,"sc3-45",30,"sc3",45
"29","30",0.793902703847045,"UMAP_KMEANS-45",27,"UMAP_KMEANS",45
"30","30",0.896496372073728,"tSNE_KMEANS-45",29,"tSNE_KMEANS",45
"31","30",1,"sc3-50",30,"sc3",50
"32","30",0.793902703847045,"UMAP_KMEANS-50",27,"UMAP_KMEANS",50
"33","30",0.902001853431214,"tSNE_KMEANS-50",28,"tSNE_KMEANS",50
"34","30",1,"sc3-55",30,"sc3",55
"35","30",0.793902703847045,"UMAP_KMEANS-55",27,"UMAP_KMEANS",55
"36","30",0.902001853431214,"tSNE_KMEANS-55",28,"tSNE_KMEANS",55
"37","30",1,"sc3-60",30,"sc3",60
"38","30",0.793902703847045,"UMAP_KMEANS-60",27,"UMAP_KMEANS",60
"39","30",0.910786858948209,"tSNE_KMEANS-60",27,"tSNE_KMEANS",60
"40","30",1,"sc3-65",30,"sc3",65
"41","30",0.793902703847045,"UMAP_KMEANS-65",27,"UMAP_KMEANS",65
