"","sim","param","Value","Name","n_clus","clustering","level"
"sc3-00...1","Dataset_1","1_0.2",0.959263380682416,"sc3-00",40,"sc3",0
"X40-00...2","Dataset_1","1_0.2",0.767658492742879,"X40-00",40,"X40",0
"X40.1-00...3","Dataset_1","1_0.2",0.683190221437966,"X40.1-00",40,"X40.1",0
"random_1-00...4","Dataset_1","1_0.2",0.514098463266656,"random_1-00",35,"random_1",0
"sc3-05...5","Dataset_1","1_0.2",0.959263380682416,"sc3-05",40,"sc3",5
"X40-05...6","Dataset_1","1_0.2",0.802843136789656,"X40-05",38,"X40",5
"X40.1-05...7","Dataset_1","1_0.2",0.701503815888235,"X40.1-05",39,"X40.1",5
"random_1-05...8","Dataset_1","1_0.2",0.514098463266656,"random_1-05",35,"random_1",5
"sc3-10...9","Dataset_1","1_0.2",0.959263380682416,"sc3-10",40,"sc3",10
"X40-10...10","Dataset_1","1_0.2",0.836962460610439,"X40-10",36,"X40",10
"X40.1-10...11","Dataset_1","1_0.2",0.701503815888235,"X40.1-10",39,"X40.1",10
"random_1-10...12","Dataset_1","1_0.2",0.514098463266656,"random_1-10",35,"random_1",10
"sc3-15...13","Dataset_1","1_0.2",0.959263380682416,"sc3-15",40,"sc3",15
"X40-15...14","Dataset_1","1_0.2",0.836962460610439,"X40-15",36,"X40",15
"X40.1-15...15","Dataset_1","1_0.2",0.733083487519311,"X40.1-15",36,"X40.1",15
"random_1-15...16","Dataset_1","1_0.2",0.514098463266656,"random_1-15",35,"random_1",15
"sc3-20...17","Dataset_1","1_0.2",0.959263380682416,"sc3-20",40,"sc3",20
"X40-20...18","Dataset_1","1_0.2",0.836962460610439,"X40-20",36,"X40",20
"X40.1-20...19","Dataset_1","1_0.2",0.763752806161075,"X40.1-20",34,"X40.1",20
"random_1-20...20","Dataset_1","1_0.2",0.525628360200735,"random_1-20",34,"random_1",20
"sc3-25...21","Dataset_1","1_0.2",0.959263380682416,"sc3-25",40,"sc3",25
"X40-25...22","Dataset_1","1_0.2",0.850746371413074,"X40-25",35,"X40",25
"X40.1-25...23","Dataset_1","1_0.2",0.772365724281306,"X40.1-25",33,"X40.1",25
"random_1-25...24","Dataset_1","1_0.2",0.538182249532704,"random_1-25",33,"random_1",25
"sc3-30...25","Dataset_1","1_0.2",0.959263380682416,"sc3-30",40,"sc3",30
"X40-30...26","Dataset_1","1_0.2",0.862370615813294,"X40-30",34,"X40",30
"X40.1-30...27","Dataset_1","1_0.2",0.784763006159876,"X40.1-30",32,"X40.1",30
"random_1-30...28","Dataset_1","1_0.2",0.545397431050297,"random_1-30",32,"random_1",30
"sc3-35...29","Dataset_1","1_0.2",0.959263380682416,"sc3-35",40,"sc3",35
"X40-35...30","Dataset_1","1_0.2",0.883760536574956,"X40-35",31,"X40",35
"X40.1-35...31","Dataset_1","1_0.2",0.784763006159876,"X40.1-35",32,"X40.1",35
"random_1-35...32","Dataset_1","1_0.2",0.545397431050297,"random_1-35",32,"random_1",35
"sc3-40...33","Dataset_1","1_0.2",0.959263380682416,"sc3-40",40,"sc3",40
"X40-40...34","Dataset_1","1_0.2",0.897770410642415,"X40-40",30,"X40",40
"X40.1-40...35","Dataset_1","1_0.2",0.804350134640171,"X40.1-40",30,"X40.1",40
"random_1-40...36","Dataset_1","1_0.2",0.556055361996713,"random_1-40",31,"random_1",40
"sc3-45...37","Dataset_1","1_0.2",0.959263380682416,"sc3-45",40,"sc3",45
"X40-45...38","Dataset_1","1_0.2",0.897770410642415,"X40-45",30,"X40",45
"X40.1-45...39","Dataset_1","1_0.2",0.827371151501882,"X40.1-45",28,"X40.1",45
"random_1-45...40","Dataset_1","1_0.2",0.570165381234655,"random_1-45",30,"random_1",45
"sc3-50...41","Dataset_1","1_0.2",0.959263380682416,"sc3-50",40,"sc3",50
"X40-50...42","Dataset_1","1_0.2",0.912452850945338,"X40-50",28,"X40",50
"X40.1-50...43","Dataset_1","1_0.2",0.833542320396791,"X40.1-50",27,"X40.1",50
"random_1-50...44","Dataset_1","1_0.2",0.570165381234655,"random_1-50",30,"random_1",50
"sc3-55...45","Dataset_1","1_0.2",0.959263380682416,"sc3-55",40,"sc3",55
"X40-55...46","Dataset_1","1_0.2",0.912452850945338,"X40-55",28,"X40",55
"X40.1-55...47","Dataset_1","1_0.2",0.859023668475958,"X40.1-55",24,"X40.1",55
"random_1-55...48","Dataset_1","1_0.2",0.57910251211573,"random_1-55",29,"random_1",55
"sc3-60...49","Dataset_1","1_0.2",0.959263380682416,"sc3-60",40,"sc3",60
"X40-60...50","Dataset_1","1_0.2",0.912452850945338,"X40-60",28,"X40",60
"X40.1-60...51","Dataset_1","1_0.2",0.87138835465674,"X40.1-60",23,"X40.1",60
"random_1-60...52","Dataset_1","1_0.2",0.593222042000331,"random_1-60",28,"random_1",60
"sc3-65...53","Dataset_1","1_0.2",0.959263380682416,"sc3-65",40,"sc3",65
"X40-65...54","Dataset_1","1_0.2",0.912452850945338,"X40-65",28,"X40",65
"X40.1-65...55","Dataset_1","1_0.2",0.893138927902186,"X40.1-65",20,"X40.1",65
