"","0.3,30","0.3,50","0.3,100","0.4,30","0.4,50","0.4,100","0.5,30","0.5,50","0.5,100","0.6,30","0.6,50","0.6,100","0.7,30","0.7,50","0.7,100","0.8,30","0.8,50","0.8,100","0.9,30","0.9,50","0.9,100","1,30","1,50","1,100","1.1,30","1.1,50","1.1,100","1.2,30","1.2,50","1.2,100","1.3,30","1.3,50","1.3,100","1.4,30","1.4,50","1.4,100","1.5,30","1.5,50","1.5,100","1.6,30","1.6,50","1.6,100","1.7,30","1.7,50","1.7,100","1.8,30","1.8,50","1.8,100","1.9,30","1.9,50","1.9,100","2,30","2,50","2,100","2.1,30","2.1,50","2.1,100","2.2,30","2.2,50","2.2,100","2.3,30","2.3,50","2.3,100","2.4,30","2.4,50","2.4,100","2.5,30","2.5,50","2.5,100","cells"
"Cell1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44,1,1,44,1,"Cell1"
"Cell2",25,28,28,26,29,28,27,29,28,27,29,28,27,29,30,27,29,30,27,29,31,27,29,31,27,30,31,27,30,31,27,30,31,28,30,31,28,30,31,27,30,31,27,30,31,28,30,31,28,30,31,28,30,31,28,30,31,28,30,31,28,30,31,28,30,31,28,30,31,"Cell2"
"Cell3",6,5,6,6,5,6,7,5,6,7,5,6,7,5,6,7,5,5,7,5,5,7,5,5,7,5,5,7,5,5,6,5,5,6,5,5,6,5,5,6,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Cell3"
"Cell4",17,17,18,17,17,18,18,17,18,18,17,18,18,17,18,18,17,18,18,17,20,18,17,20,18,17,20,18,17,20,18,17,20,17,17,20,17,17,20,18,17,20,18,17,20,18,17,20,18,17,20,18,17,20,18,18,20,18,18,20,18,18,20,18,18,20,18,18,20,"Cell4"
"Cell5",22,24,23,22,24,23,23,24,23,23,24,23,23,24,24,23,24,24,23,24,25,23,24,25,23,25,25,23,25,25,24,25,25,24,25,25,23,25,25,24,25,25,24,25,25,24,25,25,24,25,25,24,25,25,24,25,25,24,25,25,24,25,25,24,25,25,24,25,25,"Cell5"
"Cell6",21,23,21,21,23,21,22,23,21,22,23,21,22,23,23,22,23,22,22,23,23,22,23,22,22,24,23,22,24,23,22,24,23,22,24,22,22,24,22,22,24,22,22,24,22,22,24,22,22,24,22,22,24,22,22,24,22,22,24,22,22,24,22,22,24,22,22,24,22,"Cell6"
"Cell7",2,11,2,2,11,2,3,11,2,3,11,2,3,11,2,3,11,15,3,11,15,3,11,15,3,11,15,3,11,15,11,11,15,12,11,15,12,11,15,11,11,15,11,11,15,10,11,15,10,11,15,10,11,15,10,11,15,10,11,15,10,11,15,10,11,15,10,11,15,"Cell7"
"Cell8",24,1,19,24,25,19,25,25,19,25,25,19,25,25,19,25,25,20,26,25,19,25,25,19,25,26,19,24,26,17,23,26,17,23,26,17,25,26,17,23,26,19,23,26,19,23,26,17,23,26,17,23,26,17,23,26,17,23,26,17,23,26,17,23,26,17,23,26,17,"Cell8"
"Cell9",19,22,22,19,22,22,20,22,22,20,22,22,20,22,22,20,22,23,20,22,24,20,22,23,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,20,23,24,19,23,24,"Cell9"
"Cell10",21,23,21,21,23,21,22,23,21,22,23,21,22,23,23,22,23,22,22,23,23,22,23,22,22,24,23,22,24,23,22,24,23,22,24,22,22,24,22,22,24,22,22,24,22,22,24,22,22,24,22,22,24,22,22,24,22,22,24,22,22,24,22,22,24,22,22,24,22,"Cell10"
"Cell11",2,11,2,2,11,2,3,11,2,3,11,2,3,11,2,3,11,15,3,11,15,3,11,15,3,11,15,3,11,15,11,11,15,12,11,15,12,11,15,11,11,15,11,11,15,10,11,15,10,11,15,10,11,15,10,11,15,10,11,15,10,11,15,10,11,15,10,11,15,"Cell11"
"Cell12",36,41,37,37,42,38,38,42,40,38,43,41,38,43,42,39,44,43,39,44,43,39,44,44,39,45,43,39,45,43,39,45,43,38,45,44,39,45,44,40,45,44,40,45,44,41,45,44,41,45,43,41,45,43,41,45,43,41,45,43,41,45,43,41,46,43,41,46,44,"Cell12"
"Cell13",24,1,19,24,25,19,25,25,19,25,25,19,25,25,19,25,25,20,26,25,19,25,25,19,25,26,19,24,26,17,23,26,17,23,26,17,25,26,17,23,26,19,23,26,19,23,26,17,23,26,17,23,26,17,23,26,17,23,26,17,23,26,17,23,26,17,23,26,17,"Cell13"
"Cell14",38,44,39,40,45,40,41,45,42,41,46,43,42,46,44,43,46,45,43,46,46,43,46,46,43,47,46,43,47,46,44,47,46,44,47,46,45,47,46,45,47,47,45,47,47,46,47,47,46,47,47,46,47,47,46,47,47,46,47,47,46,47,47,46,48,47,46,48,47,"Cell14"
"Cell15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44,1,1,44,1,"Cell15"
"Cell16",11,9,11,10,9,11,12,9,10,12,9,12,12,9,10,12,9,11,12,9,10,12,9,10,12,9,10,12,9,10,12,9,10,10,9,10,10,9,10,12,9,10,12,9,10,11,9,10,11,9,10,11,9,10,11,9,10,11,9,10,11,9,10,11,9,10,11,9,10,"Cell16"
