"","nCells","Value","Name","n_clus","clustering","level"
"1","100",0.191721877334043,"sc3-00",40,"sc3",0
"2","100",0.362323884773067,"UMAP_KMEANS-00",40,"UMAP_KMEANS",0
"3","100",0.325051721405452,"tSNE_KMEANS-00",40,"tSNE_KMEANS",0
"4","100",0.191721877334043,"sc3-05",40,"sc3",5
"5","100",0.397194213064445,"UMAP_KMEANS-05",39,"UMAP_KMEANS",5
"6","100",0.325051721405452,"tSNE_KMEANS-05",40,"tSNE_KMEANS",5
"7","100",0.191721877334043,"sc3-10",40,"sc3",10
"8","100",0.397194213064445,"UMAP_KMEANS-10",39,"UMAP_KMEANS",10
"9","100",0.325051721405452,"tSNE_KMEANS-10",40,"tSNE_KMEANS",10
"10","100",0.191721877334043,"sc3-15",40,"sc3",15
"11","100",0.397194213064445,"UMAP_KMEANS-15",39,"UMAP_KMEANS",15
"12","100",0.325051721405452,"tSNE_KMEANS-15",40,"tSNE_KMEANS",15
"13","100",0.191721877334043,"sc3-20",40,"sc3",20
"14","100",0.397194213064445,"UMAP_KMEANS-20",39,"UMAP_KMEANS",20
"15","100",0.325051721405452,"tSNE_KMEANS-20",40,"tSNE_KMEANS",20
"16","100",0.191721877334043,"sc3-25",40,"sc3",25
"17","100",0.397194213064445,"UMAP_KMEANS-25",39,"UMAP_KMEANS",25
"18","100",0.325051721405452,"tSNE_KMEANS-25",40,"tSNE_KMEANS",25
"19","100",0.191721877334043,"sc3-30",40,"sc3",30
"20","100",0.430676417612465,"UMAP_KMEANS-30",38,"UMAP_KMEANS",30
"21","100",0.325051721405452,"tSNE_KMEANS-30",40,"tSNE_KMEANS",30
"22","100",0.191721877334043,"sc3-35",40,"sc3",35
"23","100",0.430676417612465,"UMAP_KMEANS-35",38,"UMAP_KMEANS",35
"24","100",0.325051721405452,"tSNE_KMEANS-35",40,"tSNE_KMEANS",35
"25","100",0.191721877334043,"sc3-40",40,"sc3",40
"26","100",0.430676417612465,"UMAP_KMEANS-40",38,"UMAP_KMEANS",40
"27","100",0.325051721405452,"tSNE_KMEANS-40",40,"tSNE_KMEANS",40
"28","100",0.191721877334043,"sc3-45",40,"sc3",45
"29","100",0.430676417612465,"UMAP_KMEANS-45",38,"UMAP_KMEANS",45
"30","100",0.325051721405452,"tSNE_KMEANS-45",40,"tSNE_KMEANS",45
"31","100",0.191721877334043,"sc3-50",40,"sc3",50
